peptide_id	TIGRFAM_id	definition	Evalues
Eucgr.E01110.1.p	TIGR03451,TIGR03989,TIGR00692,TIGR02824,TIGR02822,TIGR03366,TIGR02817,TIGR03201,TIGR02819,TIGR02823,TIGR01751,TIGR02818,TIGR01202	TIGR03451[mycoS_dep_FDH: S-(hydroxymethyl)mycothiol dehydrogenase]; TIGR03989[Rxyl_3153: NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family]; TIGR00692[tdh: L-threonine 3-dehydrogenase]; TIGR02824[quinone_pig3: putative NAD(P)H quinone oxidoreductase, PIG3 family]; TIGR02822[adh_fam_2: zinc-binding alcohol dehydrogenase family protein]; TIGR03366[HpnZ_proposed: putative phosphonate catabolism associated alcohol dehydrogenase]; TIGR02817[adh_fam_1: zinc-binding alcohol dehydrogenase family protein]; TIGR03201[dearomat_had: 6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase]; TIGR02819[fdhA_non_GSH: formaldehyde dehydrogenase, glutathione-independent]; TIGR02823[oxido_YhdH: putative quinone oxidoreductase, YhdH/YhfP family]; TIGR01751[crot-CoA-red: crotonyl-CoA reductase]; TIGR02818[adh_III_F_hyde: S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase]; TIGR01202[bchC: chlorophyll synthesis pathway protein BchC]	TIGR03451[1.4e-21]; TIGR03989[9.4e-30]; TIGR00692[8.7e-23]; TIGR02824[4.6e-22]; TIGR02822[1.6e-36]; TIGR03366[4.6e-26]; TIGR02817[1.3e-10]; TIGR03201[5e-24]; TIGR02819[2.3e-07]; TIGR02823[4.5e-20]; TIGR01751[5e-14]; TIGR02818[2.6e-17]; TIGR01202[1.8e-10]
Eucgr.E01110.2.p	TIGR03451,TIGR03989,TIGR00692,TIGR02824,TIGR02822,TIGR03366,TIGR02817,TIGR03201,TIGR02819,TIGR02823,TIGR01751,TIGR02818,TIGR01202	TIGR03451[mycoS_dep_FDH: S-(hydroxymethyl)mycothiol dehydrogenase]; TIGR03989[Rxyl_3153: NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family]; TIGR00692[tdh: L-threonine 3-dehydrogenase]; TIGR02824[quinone_pig3: putative NAD(P)H quinone oxidoreductase, PIG3 family]; TIGR02822[adh_fam_2: zinc-binding alcohol dehydrogenase family protein]; TIGR03366[HpnZ_proposed: putative phosphonate catabolism associated alcohol dehydrogenase]; TIGR02817[adh_fam_1: zinc-binding alcohol dehydrogenase family protein]; TIGR03201[dearomat_had: 6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase]; TIGR02819[fdhA_non_GSH: formaldehyde dehydrogenase, glutathione-independent]; TIGR02823[oxido_YhdH: putative quinone oxidoreductase, YhdH/YhfP family]; TIGR01751[crot-CoA-red: crotonyl-CoA reductase]; TIGR02818[adh_III_F_hyde: S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase]; TIGR01202[bchC: chlorophyll synthesis pathway protein BchC]	TIGR03451[1.4e-21]; TIGR03989[9.4e-30]; TIGR00692[8.7e-23]; TIGR02824[4.6e-22]; TIGR02822[1.6e-36]; TIGR03366[4.6e-26]; TIGR02817[1.3e-10]; TIGR03201[5e-24]; TIGR02819[2.3e-07]; TIGR02823[4.5e-20]; TIGR01751[5e-14]; TIGR02818[2.6e-17]; TIGR01202[1.8e-10]
Eucgr.E01120.1.p	TIGR02415,TIGR02685,TIGR01832,TIGR03206,TIGR04316,TIGR03971,TIGR01830,TIGR01500,TIGR01289,TIGR04504,TIGR01963,TIGR02632,TIGR01829	TIGR02415[23BDH: acetoin reductases]; TIGR02685[pter_reduc_Leis: pteridine reductase]; TIGR01832[kduD: 2-deoxy-D-gluconate 3-dehydrogenase]; TIGR03206[benzo_BadH: 2-hydroxycyclohexanecarboxyl-CoA dehydrogenase]; TIGR04316[dhbA_paeA: 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase]; TIGR03971[SDR_subfam_1: SDR family mycofactocin-dependent oxidoreductase]; TIGR01830[3oxo_ACP_reduc: 3-oxoacyl-[acyl-carrier-protein] reductase]; TIGR01500[sepiapter_red: sepiapterin reductase]; TIGR01289[LPOR: light-dependent protochlorophyllide reductase]; TIGR04504[SDR_subfam_2: SDR family mycofactocin-dependent oxidoreductase]; TIGR01963[PHB_DH: 3-hydroxybutyrate dehydrogenase]; TIGR02632[RhaD_aldol-ADH: rhamnulose-1-phosphate aldolase/alcohol dehydrogenase]; TIGR01829[AcAcCoA_reduct: acetoacetyl-CoA reductase]	TIGR02415[1.2e-08]; TIGR02685[1.6e-05]; TIGR01832[6.3e-10]; TIGR03206[1.8e-07]; TIGR04316[4.9e-10]; TIGR03971[2.3e-07]; TIGR01830[4e-13]; TIGR01500[3.8e-11]; TIGR01289[8.6e-18]; TIGR04504[1.6e-07]; TIGR01963[5.7e-14]; TIGR02632[1.8e-09]; TIGR01829[3.8e-10]
Eucgr.E01131.1.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[2.8e-18]; TIGR03724[6.6e-06]
Eucgr.E01148.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[6e-17]
Eucgr.E01154.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[1.5e-38]
Eucgr.E01154.2.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[3e-18]
Eucgr.E01172.1.p	TIGR02095,TIGR04063,TIGR02149,TIGR03088,TIGR04157,TIGR03999,TIGR04047,TIGR03087,TIGR03449	TIGR02095[glgA: glycogen/starch synthase, ADP-glucose type]; TIGR04063[stp3: PEP-CTERM/exosortase A-associated glycosyltransferase, Daro_2409 family]; TIGR02149[glgA_Coryne: glycogen synthase, Corynebacterium family]; TIGR03088[stp2: sugar transferase, PEP-CTERM/EpsH1 system associated]; TIGR04157[glyco_rSAM_CFB: glycosyltransferase, GG-Bacteroidales peptide system]; TIGR03999[thiol_BshA: N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA]; TIGR04047[MSMEG_0565_glyc: glycosyltransferase, MSMEG_0565 family]; TIGR03087[stp1: sugar transferase, PEP-CTERM/EpsH1 system associated]; TIGR03449[mycothiol_MshA: D-inositol-3-phosphate glycosyltransferase]	TIGR02095[4.4e-10]; TIGR04063[8.5e-17]; TIGR02149[1.1e-14]; TIGR03088[6e-23]; TIGR04157[2.6e-20]; TIGR03999[9.4e-13]; TIGR04047[2.7e-20]; TIGR03087[1.5e-05]; TIGR03449[1.1e-12]
Eucgr.E01244.1.p	TIGR01426	TIGR01426[MGT: glycosyltransferase, MGT family]	TIGR01426[2.5e-13]
Eucgr.E01322.1.p	TIGR01969,TIGR04291,TIGR03371,TIGR01281,TIGR00345,TIGR01968	TIGR01969[minD_arch: cell division ATPase MinD]; TIGR04291[arsen_driv_ArsA: arsenical pump-driving ATPase]; TIGR03371[cellulose_yhjQ: cellulose synthase operon protein YhjQ]; TIGR01281[DPOR_bchL: light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein]; TIGR00345[GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family]; TIGR01968[minD_bact: septum site-determining protein MinD]	TIGR01969[2e-06]; TIGR04291[1.7e-43]; TIGR03371[2.6e-06]; TIGR01281[8.2e-06]; TIGR00345[2.1e-88]; TIGR01968[3.6e-07]
Eucgr.E01339.1.p	TIGR01327	TIGR01327[PGDH: phosphoglycerate dehydrogenase]	TIGR01327[2.3e-48]
Eucgr.E01342.1.p	TIGR01327	TIGR01327[PGDH: phosphoglycerate dehydrogenase]	TIGR01327[1.9e-46]
Eucgr.E01349.1.p	TIGR01327	TIGR01327[PGDH: phosphoglycerate dehydrogenase]	TIGR01327[3.9e-51]
Eucgr.E01404.1.p	TIGR01009	TIGR01009[rpsC_bact: ribosomal protein S3]	TIGR01009[4.2e-33]
Eucgr.E01416.1.p	TIGR03634,TIGR03690	TIGR03634[arc_protsome_B: proteasome endopeptidase complex, archaeal, beta subunit]; TIGR03690[20S_bact_beta: proteasome, beta subunit]	TIGR03634[2.5e-36]; TIGR03690[2.4e-07]
Eucgr.E01416.2.p	TIGR03634	TIGR03634[arc_protsome_B: proteasome endopeptidase complex, archaeal, beta subunit]	TIGR03634[4.8e-18]
Eucgr.E01427.1.p	TIGR03466	TIGR03466[HpnA: hopanoid-associated sugar epimerase]	TIGR03466[3.7e-21]
Eucgr.E01452.1.p	TIGR01614	TIGR01614[PME_inhib: pectinesterase inhibitor domain]	TIGR01614[3.8e-21]
Eucgr.E01468.1.p	TIGR01614	TIGR01614[PME_inhib: pectinesterase inhibitor domain]	TIGR01614[9.3e-30]
Eucgr.E01562.1.p	TIGR01426	TIGR01426[MGT: glycosyltransferase, MGT family]	TIGR01426[1.1e-13]
Eucgr.E01631.1.p	TIGR03665,TIGR03591,TIGR01952	TIGR03665[arCOG04150: arCOG04150 universal archaeal KH domain protein]; TIGR03591[polynuc_phos: polyribonucleotide nucleotidyltransferase]; TIGR01952[nusA_arch: NusA family KH domain protein, archaeal]	TIGR03665[7.5e-09]; TIGR03591[1.6e-05]; TIGR01952[1.1e-05]
Eucgr.E01631.2.p	TIGR03665,TIGR03591,TIGR01952	TIGR03665[arCOG04150: arCOG04150 universal archaeal KH domain protein]; TIGR03591[polynuc_phos: polyribonucleotide nucleotidyltransferase]; TIGR01952[nusA_arch: NusA family KH domain protein, archaeal]	TIGR03665[7.1e-09]; TIGR03591[1.9e-05]; TIGR01952[9.7e-06]
Eucgr.E01662.1.p	TIGR01053	TIGR01053[LSD1: zinc finger domain, LSD1 subclass]	TIGR01053[8.3e-16]
Eucgr.E01662.2.p	TIGR01053	TIGR01053[LSD1: zinc finger domain, LSD1 subclass]	TIGR01053[1.9e-15]
Eucgr.E01680.1.p	TIGR01216,TIGR03166	TIGR01216[ATP_synt_epsi: ATP synthase F1, epsilon subunit]; TIGR03166[alt_F1F0_F1_eps: alternate F1F0 ATPase, F1 subunit epsilon]	TIGR01216[5.1e-17]; TIGR03166[3.8e-05]
Eucgr.E01697.1.p	TIGR01216,TIGR03166	TIGR01216[ATP_synt_epsi: ATP synthase F1, epsilon subunit]; TIGR03166[alt_F1F0_F1_eps: alternate F1F0 ATPase, F1 subunit epsilon]	TIGR01216[1.3e-18]; TIGR03166[1.5e-05]
Eucgr.E01722.1.p	TIGR01367,TIGR01251	TIGR01367[pyrE_Therm: orotate phosphoribosyltransferase]; TIGR01251[ribP_PPkin: ribose-phosphate diphosphokinase]	TIGR01367[3.2e-05]; TIGR01251[3.6e-120]
Eucgr.E01722.2.p	TIGR01367,TIGR01251	TIGR01367[pyrE_Therm: orotate phosphoribosyltransferase]; TIGR01251[ribP_PPkin: ribose-phosphate diphosphokinase]	TIGR01367[2.6e-05]; TIGR01251[4.9e-103]
Eucgr.E01726.1.p	TIGR03594,TIGR03596,TIGR03156,TIGR03918,TIGR00450,TIGR00231,TIGR03598,TIGR03597	TIGR03594[GTPase_EngA: ribosome-associated GTPase EngA]; TIGR03596[GTPase_YlqF: ribosome biogenesis GTP-binding protein YlqF]; TIGR03156[GTP_HflX: GTP-binding protein HflX]; TIGR03918[GTP_HydF: [FeFe] hydrogenase H-cluster maturation GTPase HydF]; TIGR00450[mnmE_trmE_thdF: tRNA modification GTPase TrmE]; TIGR00231[small_GTP: small GTP-binding protein domain]; TIGR03598[GTPase_YsxC: ribosome biogenesis GTP-binding protein YsxC]; TIGR03597[GTPase_YqeH: ribosome biogenesis GTPase YqeH]	TIGR03594[9e-12]; TIGR03596[7.1e-49]; TIGR03156[1.8e-05]; TIGR03918[1.9e-05]; TIGR00450[3.4e-08]; TIGR00231[2.1e-08]; TIGR03598[3e-06]; TIGR03597[2.2e-08]
Eucgr.E01731.1.p	TIGR02280,TIGR01929,TIGR02441,TIGR03210	TIGR02280[PaaB1: phenylacetate degradation probable enoyl-CoA hydratase PaaB]; TIGR01929[menB: naphthoate synthase]; TIGR02441[fa_ox_alpha_mit: fatty acid oxidation complex, alpha subunit, mitochondrial]; TIGR03210[badI: 2-ketocyclohexanecarboxyl-CoA hydrolase]	TIGR02280[3.2e-15]; TIGR01929[5.9e-09]; TIGR02441[1.5e-05]; TIGR03210[1.6e-06]
Eucgr.E01739.1.p	TIGR03210,TIGR02441,TIGR03200,TIGR01929,TIGR02437,TIGR02280,TIGR03189,TIGR02440	TIGR03210[badI: 2-ketocyclohexanecarboxyl-CoA hydrolase]; TIGR02441[fa_ox_alpha_mit: fatty acid oxidation complex, alpha subunit, mitochondrial]; TIGR03200[dearomat_oah: 6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase]; TIGR01929[menB: naphthoate synthase]; TIGR02437[FadB: fatty oxidation complex, alpha subunit FadB]; TIGR02280[PaaB1: phenylacetate degradation probable enoyl-CoA hydratase PaaB]; TIGR03189[dienoyl_CoA_hyt: cyclohexa-1,5-dienecarbonyl-CoA hydratase]; TIGR02440[FadJ: fatty oxidation complex, alpha subunit FadJ]	TIGR03210[1.7e-08]; TIGR02441[4.7e-08]; TIGR03200[1.6e-05]; TIGR01929[2.5e-11]; TIGR02437[6.2e-12]; TIGR02280[2.1e-20]; TIGR03189[1e-08]; TIGR02440[3e-06]
Eucgr.E01740.1.p	TIGR03210,TIGR02441,TIGR03200,TIGR01929,TIGR02437,TIGR02280,TIGR03189,TIGR02440	TIGR03210[badI: 2-ketocyclohexanecarboxyl-CoA hydrolase]; TIGR02441[fa_ox_alpha_mit: fatty acid oxidation complex, alpha subunit, mitochondrial]; TIGR03200[dearomat_oah: 6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase]; TIGR01929[menB: naphthoate synthase]; TIGR02437[FadB: fatty oxidation complex, alpha subunit FadB]; TIGR02280[PaaB1: phenylacetate degradation probable enoyl-CoA hydratase PaaB]; TIGR03189[dienoyl_CoA_hyt: cyclohexa-1,5-dienecarbonyl-CoA hydratase]; TIGR02440[FadJ: fatty oxidation complex, alpha subunit FadJ]	TIGR03210[2e-08]; TIGR02441[4.6e-09]; TIGR03200[4.4e-06]; TIGR01929[2.3e-12]; TIGR02437[5e-11]; TIGR02280[1.1e-20]; TIGR03189[1.5e-07]; TIGR02440[4e-07]
Eucgr.E01740.2.p	TIGR03210,TIGR02441,TIGR03200,TIGR01929,TIGR02437,TIGR02280,TIGR03189,TIGR02440	TIGR03210[badI: 2-ketocyclohexanecarboxyl-CoA hydrolase]; TIGR02441[fa_ox_alpha_mit: fatty acid oxidation complex, alpha subunit, mitochondrial]; TIGR03200[dearomat_oah: 6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase]; TIGR01929[menB: naphthoate synthase]; TIGR02437[FadB: fatty oxidation complex, alpha subunit FadB]; TIGR02280[PaaB1: phenylacetate degradation probable enoyl-CoA hydratase PaaB]; TIGR03189[dienoyl_CoA_hyt: cyclohexa-1,5-dienecarbonyl-CoA hydratase]; TIGR02440[FadJ: fatty oxidation complex, alpha subunit FadJ]	TIGR03210[1.9e-08]; TIGR02441[4.5e-09]; TIGR03200[4.3e-06]; TIGR01929[2.1e-12]; TIGR02437[4.9e-11]; TIGR02280[1.7e-20]; TIGR03189[5.6e-07]; TIGR02440[3.9e-07]
Eucgr.E01789.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[5.5e-12]
Eucgr.E01907.1.p	TIGR00820	TIGR00820[zip: ZIP zinc/iron transport family]	TIGR00820[5.2e-97]
Eucgr.E01919.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[4.6e-08]
Eucgr.E01982.1.p	TIGR00293	TIGR00293[TIGR00293: prefoldin, alpha subunit]	TIGR00293[1.2e-09]
